Age_of_Farmer,Annual_Income,Land_Size_Acres,Land_Location,Irrigation_Facility,Credit_Score,Existing_Loans,Requested_Loan_Amount,Loan_Purpose,Loan_Type,Land_Ownership,Loan_History,Approved_Loan_Amount,Soil_pH,Nitrogen_kg_per_ha,Phosphorus_kg_per_ha,Potassium_kg_per_ha
40,593614.0,4.07,Near_Village,drip,820,0,244200.0,Equipment_Purchase,Short_Term,Owned,Repeat,230769.0,6.99,201,27,220
30,472624.0,2.81,Near_Village,rainfed,680,0,168600.0,Crop_Cultivation,Long_Term,Leased,First_Time,0.0,5.57,644,22,339
38,212837.0,0.95,Far,borewell,700,0,38000.0,Borewell_Installation,Long_Term,Owned,Repeat,35226.0,7.51,557,9,380
57,277843.0,1.63,Far,canal,610,1,65200.0,Borewell_Installation,Long_Term,Leased,Repeat,0.0,8.3,396,6,396
46,1029133.0,7.65,Near_City,rainfed,650,3,612000.0,Crop_Cultivation,Short_Term,Owned,Repeat,0.0,6.96,671,20,119
26,890596.0,6.92,Far,borewell,810,0,276800.0,Seeds_Fertilizers,Long_Term,Leased,Repeat,0.0,6.83,297,7,228
30,715848.0,5.0,Far,drip,750,2,200000.0,Crop_Cultivation,Short_Term,Owned,Repeat,185400.0,7.2,279,46,172
53,831390.0,6.41,Near_Village,drip,690,2,384600.0,Equipment_Purchase,Long_Term,Leased,Repeat,0.0,8.11,623,34,391
57,776377.0,5.32,Far,drip,810,0,212800.0,Equipment_Purchase,Long_Term,Leased,Repeat,0.0,7.26,177,36,395
49,681895.0,4.61,Near_City,borewell,660,2,368800.0,Seeds_Fertilizers,Long_Term,Leased,Repeat,0.0,7.36,364,43,243
62,522468.0,3.31,Far,borewell,660,1,132400.0,Seeds_Fertilizers,Short_Term,Owned,First_Time,113202.0,6.87,176,47,53
56,499193.0,3.67,Near_Village,canal,460,3,220200.0,Seeds_Fertilizers,Long_Term,Owned,First_Time,0.0,6.51,155,14,224
41,199508.0,0.91,Near_City,borewell,390,3,72800.0,Irrigation_Setup,Short_Term,Leased,Repeat,0.0,6.44,148,9,354
53,950864.0,7.01,Near_City,borewell,650,3,560800.0,Borewell_Installation,Long_Term,Owned,Repeat,0.0,6.22,698,14,313
44,983434.0,6.99,Near_City,rainfed,670,2,559200.0,Equipment_Purchase,Short_Term,Owned,First_Time,478116.0,7.0,609,12,237
57,582842.0,4.11,Near_City,borewell,480,3,328800.0,Irrigation_Setup,Long_Term,Leased,Repeat,0.0,8.29,348,7,160
31,319237.0,2.03,Near_City,borewell,660,1,162400.0,Crop_Cultivation,Short_Term,Leased,Repeat,0.0,6.95,283,24,374
42,985288.0,7.26,Near_Village,borewell,770,1,435600.0,Borewell_Installation,Long_Term,Owned,First_Time,372438.0,8.5,559,27,380
45,466917.0,3.08,Far,borewell,610,2,123200.0,Crop_Cultivation,Short_Term,Leased,Repeat,0.0,8.46,469,22,265
58,906769.0,6.8,Near_City,drip,740,1,544000.0,Seeds_Fertilizers,Short_Term,Owned,First_Time,465120.0,6.79,473,48,377
61,209463.0,1.19,Far,borewell,670,0,47600.0,Equipment_Purchase,Long_Term,Owned,Repeat,42840.0,7.54,389,43,231
36,399098.0,2.84,Near_City,canal,440,3,227200.0,Seeds_Fertilizers,Short_Term,Owned,First_Time,0.0,6.6,391,6,110
57,425897.0,2.86,Near_Village,canal,710,0,171600.0,Equipment_Purchase,Long_Term,Owned,First_Time,146718.0,8.22,325,33,338
47,437745.0,3.22,Near_City,canal,760,0,257600.0,Seeds_Fertilizers,Short_Term,Leased,Repeat,0.0,6.11,244,27,360
53,567049.0,3.81,Near_City,borewell,510,3,304800.0,Equipment_Purchase,Long_Term,Leased,Repeat,0.0,6.44,348,44,262
51,855533.0,6.06,Far,rainfed,670,2,242400.0,Equipment_Purchase,Long_Term,Owned,First_Time,207252.0,7.28,461,13,164
34,557018.0,3.55,Far,canal,630,1,142000.0,Crop_Cultivation,Long_Term,Leased,First_Time,0.0,5.93,184,49,375
31,229196.0,0.67,Near_City,drip,370,3,53600.0,Borewell_Installation,Short_Term,Owned,First_Time,0.0,7.25,343,48,276
58,702315.0,5.27,Near_City,canal,730,0,421600.0,Irrigation_Setup,Short_Term,Leased,First_Time,0.0,8.47,144,18,117
30,749347.0,5.25,Near_Village,drip,570,3,315000.0,Borewell_Installation,Long_Term,Owned,First_Time,0.0,7.13,251,17,175
37,765576.0,5.24,Near_Village,borewell,820,0,314400.0,Crop_Cultivation,Long_Term,Owned,First_Time,268812.0,6.81,498,16,380
65,961096.0,7.42,Far,drip,740,1,296800.0,Borewell_Installation,Long_Term,Owned,First_Time,253764.0,7.81,471,47,160
27,999083.0,7.7,Far,canal,720,2,308000.0,Borewell_Installation,Long_Term,Owned,Repeat,285516.0,5.56,379,19,161
32,323605.0,1.59,Near_Village,canal,620,1,95400.0,Crop_Cultivation,Long_Term,Owned,First_Time,81567.0,5.54,143,30,233
50,179254.0,0.62,Near_Village,canal,560,0,37200.0,Seeds_Fertilizers,Short_Term,Leased,First_Time,0.0,7.31,131,9,342
47,905708.0,6.85,Near_Village,drip,570,3,411000.0,Borewell_Installation,Long_Term,Owned,First_Time,0.0,8.0,332,46,186
30,732177.0,5.26,Far,canal,570,3,210400.0,Equipment_Purchase,Short_Term,Owned,First_Time,0.0,5.71,604,10,173
46,729780.0,5.2,Near_Village,rainfed,590,3,312000.0,Borewell_Installation,Long_Term,Leased,Repeat,0.0,6.6,454,8,259
64,683158.0,5.18,Near_City,rainfed,790,0,414400.0,Irrigation_Setup,Short_Term,Owned,First_Time,354312.0,7.22,677,10,361
37,677107.0,4.67,Near_City,drip,640,2,373600.0,Irrigation_Setup,Short_Term,Owned,First_Time,319428.0,6.01,273,44,52
46,228823.0,1.41,Far,canal,490,2,56400.0,Seeds_Fertilizers,Short_Term,Leased,Repeat,0.0,7.56,477,22,262
62,766396.0,5.83,Near_City,drip,810,0,466400.0,Equipment_Purchase,Short_Term,Leased,Repeat,0.0,6.81,518,14,100
60,412180.0,2.3,Near_Village,drip,660,1,138000.0,Crop_Cultivation,Long_Term,Owned,First_Time,117990.0,8.0,636,40,257
56,165376.0,0.56,Far,drip,340,3,22400.0,Equipment_Purchase,Long_Term,Owned,First_Time,0.0,8.48,604,10,309
59,756557.0,5.48,Near_City,rainfed,790,0,438400.0,Crop_Cultivation,Short_Term,Owned,First_Time,374832.0,5.53,106,15,232
52,984648.0,7.24,Far,drip,690,2,289600.0,Irrigation_Setup,Long_Term,Leased,Repeat,0.0,7.54,249,47,65
26,734945.0,5.08,Near_Village,canal,760,1,304800.0,Irrigation_Setup,Long_Term,Leased,Repeat,0.0,6.32,638,19,162
55,500811.0,3.01,Near_City,canal,710,1,240800.0,Crop_Cultivation,Long_Term,Leased,Repeat,0.0,7.27,279,40,399
46,719017.0,5.0,Near_City,drip,650,3,400000.0,Equipment_Purchase,Short_Term,Owned,Repeat,0.0,6.74,614,13,267
49,769462.0,5.63,Near_City,drip,840,0,450400.0,Crop_Cultivation,Long_Term,Leased,Repeat,0.0,8.23,316,43,333
39,408950.0,2.51,Near_Village,canal,670,2,150600.0,Irrigation_Setup,Long_Term,Owned,Repeat,135540.0,6.59,313,25,186
58,656798.0,4.99,Near_City,borewell,700,0,399200.0,Borewell_Installation,Short_Term,Leased,First_Time,0.0,5.84,561,48,289
32,503202.0,3.47,Near_City,borewell,590,2,277600.0,Borewell_Installation,Long_Term,Owned,First_Time,0.0,7.98,428,32,347
58,437612.0,2.61,Far,rainfed,600,1,104400.0,Irrigation_Setup,Long_Term,Leased,First_Time,0.0,5.78,316,19,104
65,617323.0,4.4,Near_Village,borewell,760,0,264000.0,Equipment_Purchase,Short_Term,Owned,First_Time,225720.0,7.14,219,18,124
29,878474.0,6.79,Near_Village,drip,760,1,407400.0,Equipment_Purchase,Long_Term,Leased,Repeat,0.0,6.27,580,32,180
47,484616.0,2.95,Near_Village,borewell,630,1,177000.0,Borewell_Installation,Short_Term,Leased,First_Time,0.0,7.2,569,48,181
52,643823.0,4.13,Near_Village,drip,820,1,247800.0,Irrigation_Setup,Short_Term,Owned,Repeat,234171.0,7.24,657,34,263
44,768313.0,5.18,Near_City,rainfed,750,2,414400.0,Irrigation_Setup,Long_Term,Owned,Repeat,384148.8,5.85,332,5,94
30,943946.0,7.1,Near_Village,rainfed,790,1,426000.0,Crop_Cultivation,Long_Term,Leased,Repeat,0.0,8.15,206,37,62
60,318862.0,1.54,Near_City,rainfed,510,2,123200.0,Seeds_Fertilizers,Long_Term,Leased,Repeat,0.0,7.64,380,13,175
57,429580.0,2.5,Far,borewell,710,0,100000.0,Irrigation_Setup,Long_Term,Owned,First_Time,85500.0,6.19,611,48,65
54,588840.0,4.12,Near_Village,rainfed,530,2,247200.0,Equipment_Purchase,Short_Term,Leased,First_Time,0.0,8.13,133,35,373
38,772468.0,5.54,Near_Village,rainfed,790,1,332400.0,Borewell_Installation,Long_Term,Leased,Repeat,0.0,7.39,284,48,258
53,586218.0,3.76,Near_Village,borewell,760,0,225600.0,Equipment_Purchase,Long_Term,Leased,Repeat,0.0,5.6,269,32,364
38,758682.0,5.29,Near_Village,drip,590,3,317400.0,Irrigation_Setup,Short_Term,Leased,Repeat,0.0,7.03,471,37,332
36,980352.0,7.63,Far,canal,850,0,305200.0,Irrigation_Setup,Long_Term,Owned,Repeat,288414.0,7.34,581,11,380
48,704600.0,4.95,Near_Village,borewell,810,0,297000.0,Crop_Cultivation,Short_Term,Leased,Repeat,0.0,8.25,556,21,63
54,928989.0,6.94,Near_Village,canal,820,0,416400.0,Equipment_Purchase,Long_Term,Owned,First_Time,356022.0,5.85,622,48,364
54,987682.0,7.71,Near_Village,canal,790,1,462600.0,Equipment_Purchase,Long_Term,Leased,Repeat,0.0,7.1,163,12,184
50,638874.0,4.5,Far,drip,720,2,180000.0,Seeds_Fertilizers,Short_Term,Owned,Repeat,166860.0,6.39,340,45,125
26,912750.0,6.75,Far,canal,720,2,270000.0,Irrigation_Setup,Long_Term,Owned,Repeat,250290.0,7.68,390,48,391
58,903211.0,6.3,Near_Village,borewell,740,1,378000.0,Irrigation_Setup,Short_Term,Owned,First_Time,323190.0,7.43,604,37,396
65,414555.0,2.76,Near_City,borewell,650,0,220800.0,Equipment_Purchase,Long_Term,Leased,First_Time,0.0,6.09,215,12,192
56,717870.0,5.52,Near_Village,rainfed,810,0,331200.0,Borewell_Installation,Long_Term,Leased,Repeat,0.0,6.32,156,13,74
58,777029.0,5.85,Near_Village,canal,480,3,351000.0,Crop_Cultivation,Short_Term,Leased,First_Time,0.0,5.67,641,26,181
63,909052.0,6.68,Near_City,borewell,640,2,534400.0,Borewell_Installation,Short_Term,Owned,First_Time,456912.0,6.02,386,13,54
49,613116.0,3.95,Far,borewell,560,3,158000.0,Borewell_Installation,Short_Term,Leased,Repeat,0.0,8.0,541,12,196
31,520265.0,3.48,Far,borewell,610,2,139200.0,Borewell_Installation,Short_Term,Leased,Repeat,0.0,7.31,166,43,130
40,435575.0,3.15,Near_City,drip,670,2,252000.0,Equipment_Purchase,Long_Term,Owned,Repeat,226800.0,6.6,294,6,267
33,599753.0,4.5,Near_City,borewell,690,1,360000.0,Equipment_Purchase,Short_Term,Owned,First_Time,307800.0,6.79,159,29,76
28,741729.0,5.03,Near_Village,drip,660,2,301800.0,Borewell_Installation,Short_Term,Leased,Repeat,0.0,8.13,626,31,205
39,479057.0,2.85,Far,drip,740,0,114000.0,Equipment_Purchase,Short_Term,Owned,First_Time,97470.0,8.34,295,7,284
54,783327.0,5.55,Near_City,drip,610,2,444000.0,Borewell_Installation,Short_Term,Leased,First_Time,0.0,6.96,663,28,347
36,1053598.0,7.81,Near_Village,drip,570,3,468600.0,Borewell_Installation,Long_Term,Owned,First_Time,0.0,6.32,234,33,172
58,496183.0,3.43,Far,borewell,660,1,137200.0,Seeds_Fertilizers,Short_Term,Owned,First_Time,117306.0,6.56,144,49,87
35,452083.0,2.92,Near_City,borewell,510,3,233600.0,Borewell_Installation,Short_Term,Leased,Repeat,0.0,6.51,252,34,245
45,553521.0,3.89,Near_Village,canal,610,2,233400.0,Seeds_Fertilizers,Short_Term,Leased,Repeat,0.0,7.81,609,34,208
43,966186.0,7.43,Near_City,borewell,690,2,594400.0,Crop_Cultivation,Short_Term,Leased,Repeat,0.0,8.3,627,6,126
57,1074670.0,7.75,Far,rainfed,820,1,310000.0,Borewell_Installation,Short_Term,Owned,Repeat,292950.0,6.34,407,30,51
52,593733.0,4.35,Near_City,canal,430,3,348000.0,Crop_Cultivation,Long_Term,Leased,First_Time,0.0,7.61,331,25,311
26,976587.0,7.6,Near_Village,rainfed,740,1,456000.0,Equipment_Purchase,Long_Term,Owned,First_Time,389880.0,7.66,330,14,185
35,603256.0,4.56,Near_Village,rainfed,560,3,273600.0,Irrigation_Setup,Long_Term,Leased,Repeat,0.0,6.12,293,47,383
61,138524.0,0.58,Near_Village,drip,610,0,34800.0,Borewell_Installation,Short_Term,Leased,Repeat,0.0,7.6,478,24,377
63,465304.0,3.3,Near_Village,drip,790,0,198000.0,Irrigation_Setup,Short_Term,Owned,Repeat,187110.0,7.53,274,9,213
59,611246.0,4.43,Far,borewell,610,2,177200.0,Crop_Cultivation,Long_Term,Owned,First_Time,0.0,8.15,259,29,328
35,472311.0,3.4,Near_Village,canal,510,3,204000.0,Equipment_Purchase,Long_Term,Leased,Repeat,0.0,6.7,695,30,119
62,736596.0,5.1,Near_Village,canal,760,1,306000.0,Borewell_Installation,Short_Term,Leased,Repeat,0.0,8.16,387,23,300
27,1065570.0,7.74,Far,drip,850,0,309600.0,Seeds_Fertilizers,Long_Term,Owned,Repeat,292572.0,7.51,149,47,124
63,587011.0,3.88,Near_City,borewell,640,2,310400.0,Borewell_Installation,Short_Term,Owned,Repeat,279360.0,5.79,226,20,207
50,611173.0,3.98,Near_City,canal,790,0,318400.0,Equipment_Purchase,Short_Term,Owned,First_Time,272232.0,5.74,180,11,364
33,888092.0,6.36,Near_Village,drip,850,0,381600.0,Seeds_Fertilizers,Short_Term,Owned,Repeat,360612.0,7.65,308,20,250
26,631681.0,4.63,Far,canal,610,2,185200.0,Borewell_Installation,Short_Term,Owned,First_Time,0.0,6.65,616,28,140
48,632167.0,4.59,Far,rainfed,810,0,183600.0,Crop_Cultivation,Long_Term,Leased,Repeat,0.0,6.82,229,39,118
45,879007.0,6.88,Near_Village,canal,510,3,412800.0,Borewell_Installation,Short_Term,Leased,First_Time,0.0,7.76,452,14,182
35,838469.0,6.01,Near_Village,borewell,790,1,360600.0,Seeds_Fertilizers,Short_Term,Leased,Repeat,0.0,6.16,541,49,192
65,699011.0,4.87,Near_Village,borewell,690,2,292200.0,Borewell_Installation,Long_Term,Owned,Repeat,270869.4,5.61,395,20,54
56,772046.0,5.74,Near_City,canal,540,3,459200.0,Crop_Cultivation,Long_Term,Owned,First_Time,0.0,5.9,203,15,349
49,173548.0,0.54,Near_City,canal,570,1,43200.0,Borewell_Installation,Long_Term,Owned,First_Time,0.0,7.37,591,30,177
41,249875.0,1.36,Far,drip,450,3,54400.0,Irrigation_Setup,Short_Term,Owned,Repeat,0.0,6.86,433,18,267
39,419438.0,2.83,Far,drip,690,1,113200.0,Crop_Cultivation,Long_Term,Owned,First_Time,96786.0,6.64,618,27,136
41,671609.0,4.85,Near_Village,drip,540,3,291000.0,Equipment_Purchase,Long_Term,Owned,First_Time,0.0,8.24,545,8,312
59,413927.0,2.61,Far,canal,540,3,104400.0,Seeds_Fertilizers,Short_Term,Owned,Repeat,0.0,7.78,665,11,122
26,934605.0,6.92,Near_Village,drip,560,3,415200.0,Borewell_Installation,Long_Term,Leased,Repeat,0.0,7.62,348,18,278
32,259631.0,1.29,Near_City,drip,540,2,103200.0,Irrigation_Setup,Long_Term,Leased,Repeat,0.0,8.1,387,44,363
46,560374.0,3.96,Far,drip,710,1,158400.0,Irrigation_Setup,Short_Term,Leased,Repeat,0.0,5.82,667,24,333
26,849668.0,6.19,Far,canal,480,3,247600.0,Borewell_Installation,Long_Term,Leased,First_Time,0.0,7.84,259,34,386
49,833409.0,5.93,Far,rainfed,650,3,237200.0,Crop_Cultivation,Short_Term,Owned,Repeat,0.0,8.15,476,33,233
55,158915.0,0.75,Near_Village,drip,550,2,45000.0,Irrigation_Setup,Short_Term,Owned,Repeat,0.0,7.53,291,21,285
56,547348.0,4.01,Near_City,drip,790,0,320800.0,Crop_Cultivation,Long_Term,Owned,Repeat,303156.0,7.08,412,17,307
33,629491.0,4.65,Near_Village,rainfed,730,0,279000.0,Irrigation_Setup,Short_Term,Leased,First_Time,0.0,5.52,275,18,334
39,335377.0,1.94,Near_City,rainfed,560,1,155200.0,Equipment_Purchase,Long_Term,Leased,First_Time,0.0,5.6,356,44,62
26,886199.0,6.76,Near_Village,canal,680,1,405600.0,Crop_Cultivation,Long_Term,Leased,First_Time,0.0,7.1,601,32,225
46,566828.0,3.78,Near_Village,rainfed,530,2,226800.0,Crop_Cultivation,Short_Term,Leased,First_Time,0.0,7.2,203,30,328
28,153976.0,0.75,Near_Village,canal,380,2,45000.0,Equipment_Purchase,Long_Term,Leased,First_Time,0.0,6.06,550,43,114
32,1044590.0,7.71,Far,borewell,710,1,308400.0,Equipment_Purchase,Long_Term,Leased,First_Time,0.0,7.26,476,48,135
25,473774.0,2.93,Near_Village,canal,580,2,175800.0,Equipment_Purchase,Short_Term,Leased,Repeat,0.0,6.64,239,28,255
58,699635.0,5.28,Near_Village,drip,740,1,316800.0,Crop_Cultivation,Short_Term,Owned,First_Time,270864.0,6.29,103,36,237
40,986777.0,7.16,Near_Village,borewell,610,2,429600.0,Borewell_Installation,Long_Term,Leased,First_Time,0.0,6.51,212,23,243
61,745794.0,5.46,Far,drip,480,3,218400.0,Seeds_Fertilizers,Short_Term,Leased,First_Time,0.0,6.38,490,35,104
61,437493.0,3.22,Near_Village,borewell,540,3,193200.0,Equipment_Purchase,Long_Term,Owned,Repeat,0.0,7.05,119,42,111
40,308635.0,1.96,Near_City,borewell,670,0,156800.0,Crop_Cultivation,Long_Term,Owned,First_Time,134064.0,5.66,497,37,138
44,453801.0,3.04,Near_City,borewell,710,1,243200.0,Crop_Cultivation,Short_Term,Leased,Repeat,0.0,8.37,588,26,399
48,997266.0,7.6,Near_City,canal,570,3,608000.0,Borewell_Installation,Short_Term,Owned,First_Time,0.0,5.79,550,5,198
50,516343.0,3.61,Near_Village,borewell,760,0,216600.0,Equipment_Purchase,Short_Term,Leased,Repeat,0.0,8.3,438,38,91
42,290032.0,1.78,Near_City,drip,360,3,142400.0,Borewell_Installation,Long_Term,Leased,First_Time,0.0,6.97,249,43,203
25,681868.0,4.8,Near_Village,drip,650,1,288000.0,Borewell_Installation,Short_Term,Leased,First_Time,0.0,6.61,282,45,302
28,836292.0,6.47,Near_Village,drip,760,1,388200.0,Seeds_Fertilizers,Short_Term,Leased,Repeat,0.0,6.13,373,25,140
42,871882.0,6.06,Far,borewell,510,3,242400.0,Crop_Cultivation,Short_Term,Leased,First_Time,0.0,5.94,310,20,256
31,693702.0,4.74,Near_Village,drip,680,1,284400.0,Crop_Cultivation,Short_Term,Leased,First_Time,0.0,7.96,224,32,209
33,187212.0,0.85,Far,canal,510,1,34000.0,Seeds_Fertilizers,Short_Term,Leased,First_Time,0.0,7.11,182,44,198
61,735498.0,5.36,Near_City,canal,760,1,428800.0,Borewell_Installation,Short_Term,Leased,Repeat,0.0,7.29,627,17,128
32,223410.0,1.08,Near_City,drip,550,2,86400.0,Borewell_Installation,Short_Term,Owned,Repeat,0.0,6.62,328,28,260
54,399476.0,2.77,Near_City,rainfed,520,3,221600.0,Seeds_Fertilizers,Long_Term,Owned,Repeat,0.0,6.67,304,13,100
47,682085.0,5.01,Far,rainfed,840,0,200400.0,Seeds_Fertilizers,Long_Term,Leased,Repeat,0.0,7.88,556,33,276
52,829731.0,5.81,Near_Village,rainfed,610,2,348600.0,Equipment_Purchase,Short_Term,Leased,First_Time,0.0,5.78,355,20,297
46,937228.0,6.95,Far,drip,650,3,278000.0,Equipment_Purchase,Long_Term,Owned,Repeat,0.0,7.56,240,17,303
44,380384.0,2.17,Far,borewell,720,1,86800.0,Borewell_Installation,Short_Term,Owned,Repeat,80463.6,8.07,521,17,156
43,277712.0,1.44,Near_Village,drip,670,0,86400.0,Crop_Cultivation,Long_Term,Owned,First_Time,73872.0,8.18,394,27,107
47,592368.0,4.12,Near_Village,rainfed,690,1,247200.0,Irrigation_Setup,Long_Term,Owned,First_Time,211356.0,5.51,695,12,242
34,959839.0,7.42,Near_City,rainfed,850,0,593600.0,Equipment_Purchase,Short_Term,Owned,Repeat,560952.0,5.94,282,42,203
54,391601.0,2.31,Far,drip,720,1,92400.0,Irrigation_Setup,Long_Term,Owned,Repeat,85654.8,8.25,301,27,109
46,569261.0,3.66,Near_City,borewell,670,2,292800.0,Seeds_Fertilizers,Short_Term,Owned,Repeat,263520.0,7.95,683,14,257
42,575677.0,3.86,Near_Village,rainfed,710,1,231600.0,Equipment_Purchase,Long_Term,Leased,Repeat,0.0,7.22,236,24,140
30,1055344.0,7.87,Near_City,borewell,850,1,629600.0,Seeds_Fertilizers,Long_Term,Owned,Repeat,594972.0,7.5,676,26,274
40,511802.0,3.52,Near_City,rainfed,820,0,281600.0,Borewell_Installation,Short_Term,Owned,Repeat,266112.0,7.55,682,43,349
51,212893.0,1.01,Far,canal,450,3,40400.0,Borewell_Installation,Long_Term,Owned,Repeat,0.0,6.96,460,42,230
41,797711.0,5.44,Near_City,canal,710,1,435200.0,Crop_Cultivation,Long_Term,Leased,First_Time,0.0,8.22,152,44,57
28,860841.0,6.01,Near_Village,canal,680,1,360600.0,Borewell_Installation,Short_Term,Leased,First_Time,0.0,6.49,250,10,116
61,537290.0,3.5,Near_City,canal,600,1,280000.0,Borewell_Installation,Short_Term,Leased,First_Time,0.0,6.24,226,10,326
55,614181.0,4.68,Near_City,drip,740,1,374400.0,Borewell_Installation,Short_Term,Owned,First_Time,320112.0,6.97,458,48,374
39,383024.0,2.58,Near_City,rainfed,580,1,206400.0,Seeds_Fertilizers,Long_Term,Leased,First_Time,0.0,5.74,111,18,151
34,405683.0,2.7,Near_Village,borewell,590,2,162000.0,Seeds_Fertilizers,Long_Term,Owned,First_Time,0.0,6.99,554,35,156
27,465494.0,2.93,Near_City,borewell,660,1,234400.0,Seeds_Fertilizers,Long_Term,Owned,First_Time,200412.0,6.27,592,34,196
48,1046886.0,7.6,Near_Village,drip,670,2,456000.0,Crop_Cultivation,Long_Term,Owned,First_Time,389880.0,8.35,578,45,338
44,1004040.0,7.6,Near_Village,borewell,770,1,456000.0,Equipment_Purchase,Long_Term,Owned,First_Time,389880.0,8.47,600,9,77
27,1052781.0,7.56,Far,borewell,680,1,302400.0,Equipment_Purchase,Short_Term,Leased,First_Time,0.0,7.83,512,30,358
44,675495.0,5.08,Near_Village,drip,690,2,304800.0,Irrigation_Setup,Long_Term,Leased,Repeat,0.0,6.95,628,38,288
50,596446.0,3.74,Near_City,rainfed,430,3,299200.0,Seeds_Fertilizers,Short_Term,Leased,First_Time,0.0,5.57,364,43,250
51,231301.0,1.51,Near_City,canal,370,3,120800.0,Seeds_Fertilizers,Long_Term,Owned,First_Time,0.0,7.88,174,15,381
54,589909.0,3.77,Near_City,borewell,710,1,301600.0,Crop_Cultivation,Long_Term,Leased,Repeat,0.0,6.12,108,8,171
51,660726.0,4.97,Near_Village,canal,740,1,298200.0,Irrigation_Setup,Short_Term,Owned,First_Time,254961.0,8.14,221,10,122
43,869309.0,6.24,Near_Village,borewell,760,0,374400.0,Seeds_Fertilizers,Short_Term,Leased,First_Time,0.0,7.26,691,37,334
63,388762.0,2.05,Near_Village,borewell,630,1,123000.0,Borewell_Installation,Short_Term,Leased,Repeat,0.0,6.3,249,7,84
59,822462.0,6.0,Near_City,canal,810,0,480000.0,Equipment_Purchase,Short_Term,Leased,Repeat,0.0,7.1,520,45,70
60,612924.0,4.52,Near_City,drip,840,0,361600.0,Crop_Cultivation,Long_Term,Owned,Repeat,341712.0,6.91,432,27,136
65,1050646.0,7.88,Near_City,canal,820,1,630400.0,Seeds_Fertilizers,Long_Term,Owned,Repeat,595728.0,6.44,334,35,326
54,587931.0,4.37,Far,borewell,710,1,174800.0,Crop_Cultivation,Long_Term,Leased,Repeat,0.0,6.1,336,48,307
41,456529.0,3.1,Near_Village,rainfed,510,3,186000.0,Crop_Cultivation,Long_Term,Leased,Repeat,0.0,7.46,480,38,132
61,152210.0,0.76,Near_Village,drip,380,2,45600.0,Crop_Cultivation,Long_Term,Leased,First_Time,0.0,7.18,109,37,220
52,481968.0,2.78,Near_Village,canal,530,2,166800.0,Irrigation_Setup,Short_Term,Leased,First_Time,0.0,8.32,482,19,343
30,632970.0,4.28,Far,drip,820,1,171200.0,Crop_Cultivation,Short_Term,Owned,Repeat,161784.0,5.67,639,41,97
47,508231.0,3.71,Near_City,drip,490,3,296800.0,Irrigation_Setup,Short_Term,Owned,First_Time,0.0,7.67,300,26,170
49,626962.0,4.21,Far,borewell,760,1,168400.0,Irrigation_Setup,Short_Term,Leased,Repeat,0.0,5.51,436,36,190
55,758106.0,5.55,Near_City,rainfed,840,0,444000.0,Seeds_Fertilizers,Long_Term,Leased,Repeat,0.0,6.66,533,17,162
26,785519.0,5.44,Near_Village,borewell,810,0,326400.0,Borewell_Installation,Short_Term,Leased,Repeat,0.0,7.94,282,30,230
54,350102.0,2.28,Far,rainfed,440,3,91200.0,Crop_Cultivation,Long_Term,Owned,First_Time,0.0,5.91,387,33,112
43,375408.0,2.37,Near_City,borewell,630,0,189600.0,Borewell_Installation,Short_Term,Leased,First_Time,0.0,7.86,684,30,380
35,698782.0,5.11,Far,borewell,690,2,204400.0,Crop_Cultivation,Long_Term,Leased,Repeat,0.0,8.49,266,10,209
51,808241.0,6.16,Near_City,drip,710,1,492800.0,Equipment_Purchase,Short_Term,Leased,First_Time,0.0,5.63,413,37,60
46,266192.0,1.66,Near_Village,drip,670,0,99600.0,Seeds_Fertilizers,Short_Term,Owned,First_Time,85158.0,7.58,364,16,360
39,926730.0,7.22,Near_Village,canal,650,3,433200.0,Irrigation_Setup,Short_Term,Owned,Repeat,0.0,6.98,624,25,56
48,630908.0,4.39,Far,canal,680,1,175600.0,Borewell_Installation,Short_Term,Leased,First_Time,0.0,7.21,472,28,267
50,534898.0,3.74,Far,borewell,710,1,149600.0,Seeds_Fertilizers,Short_Term,Leased,Repeat,0.0,7.08,294,47,340
56,743280.0,5.26,Near_City,drip,680,1,420800.0,Irrigation_Setup,Short_Term,Leased,First_Time,0.0,6.09,485,31,350
50,751774.0,5.09,Far,canal,850,1,203600.0,Crop_Cultivation,Short_Term,Owned,Repeat,192402.0,7.72,197,31,337
41,641702.0,4.53,Near_Village,borewell,620,3,271800.0,Seeds_Fertilizers,Long_Term,Owned,Repeat,0.0,5.63,399,8,186
27,329928.0,2.2,Near_City,borewell,690,1,176000.0,Irrigation_Setup,Long_Term,Owned,Repeat,163152.0,7.68,540,31,323
40,725760.0,5.52,Near_Village,drip,820,0,331200.0,Equipment_Purchase,Long_Term,Owned,First_Time,283176.0,6.32,444,48,184
64,228733.0,1.44,Near_Village,rainfed,300,3,86400.0,Irrigation_Setup,Short_Term,Leased,First_Time,0.0,6.49,389,26,56
39,386101.0,2.46,Near_Village,rainfed,690,0,147600.0,Borewell_Installation,Short_Term,Owned,First_Time,126198.0,5.64,592,20,131
46,980070.0,7.41,Far,rainfed,750,2,296400.0,Crop_Cultivation,Long_Term,Owned,Repeat,274762.8,7.83,485,42,69
57,521783.0,3.21,Near_City,canal,790,0,256800.0,Irrigation_Setup,Long_Term,Owned,Repeat,242676.0,7.1,626,32,297
